fold,seed,model,selection
0,7,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
0,7,ann,"{""best_epoch"": 44, ""inner_r2"": -1.8564987732627536, ""parameters"": 2561}"
0,7,ann_q1,"{""best_epoch"": 18, ""inner_r2"": -0.96787765830932, ""parameters"": 562}"
0,7,ann_q2,"{""best_epoch"": 18, ""inner_r2"": -0.9249185153105854, ""parameters"": 643}"
0,7,ann_q3,"{""best_epoch"": 140, ""inner_r2"": -0.762474844946345, ""parameters"": 724}"
0,7,ann_q4,"{""best_epoch"": 9, ""inner_r2"": -2.203758893353628, ""parameters"": 805}"
0,7,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,7,gnn_q1,"{""best_epoch"": 51, ""inner_r2"": 0.747688387389341, ""parameters"": 51634}"
0,7,gnn_q2,"{""best_epoch"": 48, ""inner_r2"": 0.9344218790729265, ""parameters"": 51843}"
0,7,gnn_q3,"{""best_epoch"": 40, ""inner_r2"": 0.9034303457662344, ""parameters"": 52052}"
0,7,gnn_q4,"{""best_epoch"": 62, ""inner_r2"": 0.9054022646378246, ""parameters"": 52261}"
0,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
0,17,ann,"{""best_epoch"": 2, ""inner_r2"": -2.072824663644295, ""parameters"": 2561}"
0,17,ann_q1,"{""best_epoch"": 11, ""inner_r2"": -3.089587992203678, ""parameters"": 562}"
0,17,ann_q2,"{""best_epoch"": 11, ""inner_r2"": -1.3391646596784912, ""parameters"": 643}"
0,17,ann_q3,"{""best_epoch"": 18, ""inner_r2"": -1.0470696909739083, ""parameters"": 724}"
0,17,ann_q4,"{""best_epoch"": 15, ""inner_r2"": -1.003181675376859, ""parameters"": 805}"
0,17,ann_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,gnn_q1,"{""best_epoch"": 30, ""inner_r2"": 0.770951948645519, ""parameters"": 51634}"
0,17,gnn_q2,"{""best_epoch"": 46, ""inner_r2"": 0.8943998368787061, ""parameters"": 51843}"
0,17,gnn_q3,"{""best_epoch"": 45, ""inner_r2"": 0.838045528144984, ""parameters"": 52052}"
0,17,gnn_q4,"{""best_epoch"": 35, ""inner_r2"": 0.86807422226372, ""parameters"": 52261}"
0,17,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
0,27,ann,"{""best_epoch"": 142, ""inner_r2"": -0.5037705225353868, ""parameters"": 2561}"
0,27,ann_q1,"{""best_epoch"": 12, ""inner_r2"": -0.948602023671409, ""parameters"": 562}"
0,27,ann_q2,"{""best_epoch"": 8, ""inner_r2"": -2.3650137949471945, ""parameters"": 643}"
0,27,ann_q3,"{""best_epoch"": 8, ""inner_r2"": -2.657450608024374, ""parameters"": 724}"
