fold,seed,model,selection
0,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
0,7,ann,"{""best_epoch"": 21, ""inner_r2"": -6.703608873500566, ""parameters"": 2561}"
0,7,ann_q1,"{""best_epoch"": 1, ""inner_r2"": -13.858318598078363, ""parameters"": 562}"
0,7,ann_q2,"{""best_epoch"": 1, ""inner_r2"": -9.639339577156013, ""parameters"": 643}"
0,7,ann_q3,"{""best_epoch"": 27, ""inner_r2"": -5.4540857956624995, ""parameters"": 724}"
0,7,ann_q4,"{""best_epoch"": 50, ""inner_r2"": -9.605436924928892, ""parameters"": 805}"
0,7,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,7,gnn_q1,"{""best_epoch"": 1, ""inner_r2"": -8.651024214557133, ""parameters"": 51634}"
0,7,gnn_q2,"{""best_epoch"": 64, ""inner_r2"": -5.9872632399474774, ""parameters"": 51843}"
0,7,gnn_q3,"{""best_epoch"": 75, ""inner_r2"": -7.985542333226592, ""parameters"": 52052}"
0,7,gnn_q4,"{""best_epoch"": 1, ""inner_r2"": -6.720175216175317, ""parameters"": 52261}"
0,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
0,17,ann,"{""best_epoch"": 1, ""inner_r2"": -7.25828088086654, ""parameters"": 2561}"
0,17,ann_q1,"{""best_epoch"": 14, ""inner_r2"": -9.128258702422059, ""parameters"": 562}"
0,17,ann_q2,"{""best_epoch"": 1, ""inner_r2"": -7.8476783008118876, ""parameters"": 643}"
0,17,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -9.609230741812842, ""parameters"": 724}"
0,17,ann_q4,"{""best_epoch"": 48, ""inner_r2"": -3.8779897092617075, ""parameters"": 805}"
0,17,ann_selected,"{""q"": 4, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,gnn_q1,"{""best_epoch"": 66, ""inner_r2"": -6.114934108708797, ""parameters"": 51634}"
0,17,gnn_q2,"{""best_epoch"": 62, ""inner_r2"": -3.784713855470021, ""parameters"": 51843}"
0,17,gnn_q3,"{""best_epoch"": 15, ""inner_r2"": -9.085916273258636, ""parameters"": 52052}"
0,17,gnn_q4,"{""best_epoch"": 12, ""inner_r2"": -8.7714080650614, ""parameters"": 52261}"
0,17,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 0.67}"
0,27,ann,"{""best_epoch"": 1, ""inner_r2"": -5.339119948673147, ""parameters"": 2561}"
0,27,ann_q1,"{""best_epoch"": 5, ""inner_r2"": -6.5721192069487655, ""parameters"": 562}"
0,27,ann_q2,"{""best_epoch"": 1, ""inner_r2"": -9.283784965740479, ""parameters"": 643}"
0,27,ann_q3,"{""best_epoch"": 56, ""inner_r2"": -4.67663705918828, ""parameters"": 724}"
0,27,ann_q4,"{""best_epoch"": 147, ""inner_r2"": -8.636535661988265, ""parameters"": 805}"
0,27,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,gnn_q1,"{""best_epoch"": 16, ""inner_r2"": -5.795634239431084, ""parameters"": 51634}"
0,27,gnn_q2,"{""best_epoch"": 96, ""inner_r2"": -5.219845190007297, ""parameters"": 51843}"
0,27,gnn_q3,"{""best_epoch"": 2, ""inner_r2"": -6.369894248591506, ""parameters"": 52052}"
0,27,gnn_q4,"{""best_epoch"": 62, ""inner_r2"": -7.644613307531557, ""parameters"": 52261}"
0,27,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,7,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
1,7,ann,"{""best_epoch"": 1, ""inner_r2"": 0.34680273107925375, ""parameters"": 2561}"
1,7,ann_q1,"{""best_epoch"": 4, ""inner_r2"": -0.6107692992688867, ""parameters"": 562}"
1,7,ann_q2,"{""best_epoch"": 1, ""inner_r2"": -1.0014635161656162, ""parameters"": 643}"
1,7,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -0.7353862707506778, ""parameters"": 724}"
1,7,ann_q4,"{""best_epoch"": 1, ""inner_r2"": -0.9997254067430887, ""parameters"": 805}"
1,7,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,7,gnn_q1,"{""best_epoch"": 43, ""inner_r2"": 0.3777898986772963, ""parameters"": 51634}"
1,7,gnn_q2,"{""best_epoch"": 48, ""inner_r2"": 0.47066985267611505, ""parameters"": 51843}"
1,7,gnn_q3,"{""best_epoch"": 69, ""inner_r2"": 0.8900530306294985, ""parameters"": 52052}"
1,7,gnn_q4,"{""best_epoch"": 29, ""inner_r2"": 0.03348375915774071, ""parameters"": 52261}"
1,7,gnn_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,17,random_forest,"{""min_samples_leaf"": 5, ""max_features"": 1.0}"
1,17,ann,"{""best_epoch"": 1, ""inner_r2"": -0.25250608646086237, ""parameters"": 2561}"
1,17,ann_q1,"{""best_epoch"": 1, ""inner_r2"": -0.09826910625425245, ""parameters"": 562}"
1,17,ann_q2,"{""best_epoch"": 1, ""inner_r2"": 0.3937105905983792, ""parameters"": 643}"
1,17,ann_q3,"{""best_epoch"": 1, ""inner_r2"": -0.5351641350908221, ""parameters"": 724}"
1,17,ann_q4,"{""best_epoch"": 127, ""inner_r2"": -0.5403732519632578, ""parameters"": 805}"
1,17,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
1,17,gnn_q1,"{""best_epoch"": 65, ""inner_r2"": 0.3940255663149531, ""parameters"": 51634}"
1,17,gnn_q2,"{""best_epoch"": 54, ""inner_r2"": 0.6222004332008695, ""parameters"": 51843}"
1,17,gnn_q3,"{""best_epoch"": 27, ""inner_r2"": 0.36385398226758714, ""parameters"": 52052}"
1,17,gnn_q4,"{""best_epoch"": 32, ""inner_r2"": -0.046537213584781245, ""parameters"": 52261}"
