fold,seed,model,selection
0,7,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 1.0}"
0,7,ann,"{""best_epoch"": 6, ""inner_r2"": -2.199764881032054, ""parameters"": 2561}"
0,7,ann_q1,"{""best_epoch"": 18, ""inner_r2"": -1.1777717953800884, ""parameters"": 562}"
0,7,ann_q2,"{""best_epoch"": 21, ""inner_r2"": -0.9971096273644868, ""parameters"": 643}"
0,7,ann_q3,"{""best_epoch"": 7, ""inner_r2"": -1.1045550095532253, ""parameters"": 724}"
0,7,ann_q4,"{""best_epoch"": 9, ""inner_r2"": -1.8277646311510356, ""parameters"": 805}"
0,7,ann_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,7,gnn_q1,"{""best_epoch"": 87, ""inner_r2"": 0.9011194099363057, ""parameters"": 51634}"
0,7,gnn_q2,"{""best_epoch"": 47, ""inner_r2"": 0.9384790685275968, ""parameters"": 51843}"
0,7,gnn_q3,"{""best_epoch"": 69, ""inner_r2"": 0.9359429699747808, ""parameters"": 52052}"
0,7,gnn_q4,"{""best_epoch"": 70, ""inner_r2"": 0.7887907383688271, ""parameters"": 52261}"
0,7,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,random_forest,"{""min_samples_leaf"": 3, ""max_features"": 1.0}"
0,17,ann,"{""best_epoch"": 2, ""inner_r2"": -1.688796279623452, ""parameters"": 2561}"
0,17,ann_q1,"{""best_epoch"": 11, ""inner_r2"": -2.332604087417303, ""parameters"": 562}"
0,17,ann_q2,"{""best_epoch"": 10, ""inner_r2"": -1.1081178216832193, ""parameters"": 643}"
0,17,ann_q3,"{""best_epoch"": 18, ""inner_r2"": -0.7458383295843873, ""parameters"": 724}"
0,17,ann_q4,"{""best_epoch"": 17, ""inner_r2"": -0.7965942230546554, ""parameters"": 805}"
0,17,ann_selected,"{""q"": 3, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,17,gnn_q1,"{""best_epoch"": 53, ""inner_r2"": 0.755625268808033, ""parameters"": 51634}"
0,17,gnn_q2,"{""best_epoch"": 96, ""inner_r2"": 0.9429154959358411, ""parameters"": 51843}"
0,17,gnn_q3,"{""best_epoch"": 114, ""inner_r2"": 0.7843735509621081, ""parameters"": 52052}"
0,17,gnn_q4,"{""best_epoch"": 52, ""inner_r2"": 0.7573743526758693, ""parameters"": 52261}"
0,17,gnn_selected,"{""q"": 2, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,random_forest,"{""min_samples_leaf"": 1, ""max_features"": 0.67}"
0,27,ann,"{""best_epoch"": 136, ""inner_r2"": -0.8513827698475136, ""parameters"": 2561}"
0,27,ann_q1,"{""best_epoch"": 12, ""inner_r2"": -0.8959959763483902, ""parameters"": 562}"
0,27,ann_q2,"{""best_epoch"": 7, ""inner_r2"": -1.8356836573528925, ""parameters"": 643}"
0,27,ann_q3,"{""best_epoch"": 8, ""inner_r2"": -2.0622618988190315, ""parameters"": 724}"
0,27,ann_q4,"{""best_epoch"": 7, ""inner_r2"": -1.8547199233359057, ""parameters"": 805}"
0,27,ann_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
0,27,gnn_q1,"{""best_epoch"": 130, ""inner_r2"": 0.9421992346622886, ""parameters"": 51634}"
0,27,gnn_q2,"{""best_epoch"": 99, ""inner_r2"": 0.9267748790696168, ""parameters"": 51843}"
0,27,gnn_q3,"{""best_epoch"": 73, ""inner_r2"": 0.9170223873254277, ""parameters"": 52052}"
0,27,gnn_q4,"{""best_epoch"": 107, ""inner_r2"": 0.9377271045800838, ""parameters"": 52261}"
0,27,gnn_selected,"{""q"": 1, ""rule"": ""smallest q within 0.02 inner validation R2 of best""}"
